Product,Vendor,MDE_SoftwareName
Mozilla Firefox (x64 hu),Mozilla,firefox
Mozilla Firefox (x64 it),Mozilla,firefox
Mozilla Firefox (x64 nb-NO),Mozilla,firefox
Mozilla Firefox (x64 nl),Mozilla,firefox
Mozilla Firefox (x64 pl),Mozilla,firefox
Mozilla Firefox (x64 ru),Mozilla,firefox
Mozilla Firefox (x64 sv-SE),Mozilla,firefox
Mozilla Firefox (x86 cs),Mozilla,firefox
Mozilla Firefox (x86 da),Mozilla,firefox
Mozilla Firefox (x86 de),Mozilla,firefox
Mozilla Firefox (x86 en-GB),Mozilla,firefox
Mozilla Firefox (x86 en-US),Mozilla,firefox
Mozilla Firefox (x86 es-ES),Mozilla,firefox
Mozilla Firefox (x86 es-MX),Mozilla,firefox
Mozilla Firefox (x86 fi),Mozilla,firefox
Mozilla Firefox (x86 fr),Mozilla,firefox
Mozilla Firefox (x86 hu),Mozilla,firefox
Mozilla Firefox (x86 it),Mozilla,firefox
Mozilla Firefox (x86 nb-NO),Mozilla,firefox
Mozilla Firefox (x86 nl),Mozilla,firefox
Mozilla Firefox (x86 pl),Mozilla,firefox
Mozilla Firefox (x86 ru),Mozilla,firefox
Mozilla Firefox (x86 sv-SE),Mozilla,firefox
Mozilla Firefox ESR (x64 cs),Mozilla,firefox
Mozilla Firefox ESR (x64 da),Mozilla,firefox
Mozilla Firefox ESR (x64 de),Mozilla,firefox
Mozilla Firefox ESR (x64 en-GB),Mozilla,firefox
Mozilla Firefox ESR (x64 en-US),Mozilla,firefox
Mozilla Firefox ESR (x64 es-ES),Mozilla,firefox
Mozilla Firefox ESR (x64 es-MX),Mozilla,firefox
Mozilla Firefox ESR (x64 fi),Mozilla,firefox
Mozilla Firefox ESR (x64 fr),Mozilla,firefox
Mozilla Firefox ESR (x64 hu),Mozilla,firefox
Mozilla Firefox ESR (x64 it),Mozilla,firefox
Mozilla Firefox ESR (x64 nb-NO),Mozilla,firefox
Mozilla Firefox ESR (x64 nl),Mozilla,firefox
Mozilla Firefox ESR (x64 pl),Mozilla,firefox
Mozilla Firefox ESR (x64 ru),Mozilla,firefox
Mozilla Firefox ESR (x64 sv-SE),Mozilla,firefox
Mozilla Firefox ESR (x86 cs),Mozilla,firefox
